source_exchange,product_type,symbol,data_type,date,filepath,file_size_mb,detected_schema,status,notes
OKX,SWAP (perp),BTC-USDT-SWAP,orderbook_L2_400,2025-11-21,,,,MISSING,window W1
OKX,SWAP (perp),BTC-USDT-SWAP,trades,2025-11-21,,,,MISSING,window W1
Bybit,linear perpetual (Contract),BTCUSDT,trades,2025-11-22,,,,MISSING,window W1
OKX,SWAP (perp),BTC-USDT-SWAP,trades,2025-11-22,,,,MISSING,window W1
Bybit,linear perpetual (Contract),BTCUSDT,trades,2026-02-11,,,,MISSING,window W2
OKX,SWAP (perp),BTC-USDT-SWAP,orderbook_L2_400,2026-02-11,,,,MISSING,window W2
OKX,SWAP (perp),BTC-USDT-SWAP,trades,2026-02-11,,,,MISSING,window W2
Bybit,linear perpetual (Contract),BTCUSDT,trades,2026-02-12,,,,MISSING,window W2
OKX,SWAP (perp),BTC-USDT-SWAP,orderbook_L2_400,2026-02-12,,,,MISSING,window W2
OKX,SWAP (perp),BTC-USDT-SWAP,trades,2026-02-12,,,,MISSING,window W2
Bybit,linear perpetual (Contract),BTCUSDT,trades,2026-02-13,,,,MISSING,window W2
OKX,SWAP (perp),BTC-USDT-SWAP,orderbook_L2_400,2026-02-13,,,,MISSING,window W2
OKX,SWAP (perp),BTC-USDT-SWAP,trades,2026-02-13,,,,MISSING,window W2
Bybit,linear perpetual (Contract),BTCUSDT,trades,2026-02-14,,,,MISSING,window W2
OKX,SWAP (perp),BTC-USDT-SWAP,trades,2026-02-14,,,,MISSING,window W2
Bybit,linear perpetual (Contract),BTCUSDT,trades,2026-01-28,,,,MISSING,window W3
OKX,SWAP (perp),BTC-USDT-SWAP,orderbook_L2_400,2026-01-28,,,,MISSING,window W3
OKX,SWAP (perp),BTC-USDT-SWAP,trades,2026-01-28,,,,MISSING,window W3
Bybit,linear perpetual (Contract),BTCUSDT,trades,2026-01-29,,,,MISSING,window W3
OKX,SWAP (perp),BTC-USDT-SWAP,orderbook_L2_400,2026-01-29,,,,MISSING,window W3
OKX,SWAP (perp),BTC-USDT-SWAP,trades,2026-01-29,,,,MISSING,window W3
Bybit,linear perpetual (Contract),BTCUSDT,trades,2026-01-30,,,,MISSING,window W3
OKX,SWAP (perp),BTC-USDT-SWAP,orderbook_L2_400,2026-01-30,,,,MISSING,window W3
OKX,SWAP (perp),BTC-USDT-SWAP,trades,2026-01-30,,,,MISSING,window W3
Bybit,linear perpetual (Contract),BTCUSDT,trades,2026-01-31,,,,MISSING,window W3
OKX,SWAP (perp),BTC-USDT-SWAP,trades,2026-01-31,,,,MISSING,window W3
