cluster_id,exchange,capital_state,direction,outcome,effort_vs_result,absorption_refill,initiative_control,background_alignment,not_overextended,liquidity_execution
By-W1_NOVEMBER-LONG-30,Bybit,UNKNOWN,LONG,TIMEOUT,0,3,0,0,2,3
By-W1_NOVEMBER-LONG-31,Bybit,UNKNOWN,LONG,TIMEOUT,0,2,0,2,2,3
By-W1_NOVEMBER-LONG-32,Bybit,UNKNOWN,LONG,TIMEOUT,0,2,0,1,1,3
By-W1_NOVEMBER-LONG-33,Bybit,UNKNOWN,LONG,TIMEOUT,1,1,1,0,1,3
OK-W1_NOVEMBER-SHORT-0,OKX,UNKNOWN,SHORT,WIN,1,1,0,0,1,3
OK-W1_NOVEMBER-SHORT-1,OKX,UNKNOWN,SHORT,LOSS,0,3,0,2,1,3
OK-W1_NOVEMBER-SHORT-2,OKX,UNKNOWN,SHORT,WIN,1,1,2,1,2,3
OK-W1_NOVEMBER-SHORT-3,OKX,UNKNOWN,SHORT,LOSS,1,1,0,2,1,3
OK-W1_NOVEMBER-SHORT-4,OKX,UNKNOWN,SHORT,LOSS,1,2,2,1,3,3
OK-W1_NOVEMBER-SHORT-5,OKX,UNKNOWN,SHORT,TIMEOUT,0,0,3,1,3,3
OK-W1_NOVEMBER-SHORT-6,OKX,UNKNOWN,SHORT,WIN,1,1,0,1,1,3
OK-W1_NOVEMBER-SHORT-7,OKX,DISTRIBUTION_INTO_BOUNCE,SHORT,WIN,1,1,2,1,1,3
OK-W1_NOVEMBER-SHORT-8,OKX,UNKNOWN,SHORT,TIMEOUT,1,2,2,1,2,3
OK-W1_NOVEMBER-SHORT-9,OKX,UNKNOWN,SHORT,WIN,1,2,0,2,2,3
OK-W1_NOVEMBER-SHORT-10,OKX,DISTRIBUTION_INTO_BOUNCE,SHORT,WIN,1,2,2,1,1,3
OK-W1_NOVEMBER-SHORT-11,OKX,DISTRIBUTION_INTO_BOUNCE,SHORT,WIN,0,2,2,3,3,3
OK-W1_NOVEMBER-SHORT-12,OKX,UNKNOWN,SHORT,WIN,1,0,0,2,2,3
OK-W1_NOVEMBER-SHORT-13,OKX,UNKNOWN,SHORT,LOSS,0,1,1,1,3,3
OK-W1_NOVEMBER-SHORT-14,OKX,DISTRIBUTION_INTO_BOUNCE,SHORT,LOSS,0,0,2,2,3,3
OK-W1_NOVEMBER-SHORT-15,OKX,UNKNOWN,SHORT,TIMEOUT,1,1,2,2,3,3
OK-W1_NOVEMBER-SHORT-16,OKX,UNKNOWN,SHORT,TIMEOUT,1,1,0,1,2,3
OK-W1_NOVEMBER-SHORT-17,OKX,UNKNOWN,SHORT,TIMEOUT,1,2,0,1,3,3
OK-W1_NOVEMBER-SHORT-18,OKX,UNKNOWN,SHORT,TIMEOUT,2,0,3,1,2,3
OK-W1_NOVEMBER-LONG-19,OKX,UNKNOWN,LONG,LOSS,0,2,0,1,2,3
OK-W1_NOVEMBER-LONG-20,OKX,UNKNOWN,LONG,LOSS,0,3,0,0,1,3
OK-W1_NOVEMBER-LONG-21,OKX,UNKNOWN,LONG,LOSS,0,2,0,1,2,3
OK-W1_NOVEMBER-LONG-22,OKX,NO_CONTROL_CHOP,LONG,TIMEOUT,0,0,0,2,2,3
OK-W1_NOVEMBER-LONG-23,OKX,UNKNOWN,LONG,LOSS,0,1,0,1,2,3
OK-W1_NOVEMBER-LONG-24,OKX,NO_CONTROL_CHOP,LONG,LOSS,0,0,3,2,2,3
OK-W1_NOVEMBER-LONG-25,OKX,UNKNOWN,LONG,LOSS,0,1,0,0,2,3
OK-W1_NOVEMBER-LONG-26,OKX,UNKNOWN,LONG,LOSS,0,1,0,2,3,3
OK-W1_NOVEMBER-LONG-27,OKX,NO_CONTROL_CHOP,LONG,LOSS,0,0,2,3,3,3
OK-W1_NOVEMBER-LONG-28,OKX,UNKNOWN,LONG,WIN,0,1,0,0,3,3
OK-W1_NOVEMBER-LONG-29,OKX,UNKNOWN,LONG,TIMEOUT,0,1,0,1,3,3
OK-W1_NOVEMBER-LONG-30,OKX,UNKNOWN,LONG,TIMEOUT,0,2,0,1,2,3
OK-W1_NOVEMBER-LONG-31,OKX,UNKNOWN,LONG,TIMEOUT,0,1,0,1,2,3
OK-W1_NOVEMBER-LONG-32,OKX,UNKNOWN,LONG,TIMEOUT,0,3,0,0,2,3
OK-W1_NOVEMBER-LONG-33,OKX,UNKNOWN,LONG,TIMEOUT,0,2,0,2,2,3
OK-W1_NOVEMBER-LONG-34,OKX,UNKNOWN,LONG,TIMEOUT,0,2,0,1,1,3
By-W3_JANUARY-SHORT-0,Bybit,UNKNOWN,SHORT,TIMEOUT,1,2,0,0,1,3
By-W3_JANUARY-SHORT-1,Bybit,UNKNOWN,SHORT,TIMEOUT,1,2,0,1,1,3
By-W3_JANUARY-SHORT-2,Bybit,UNKNOWN,SHORT,TIMEOUT,1,2,0,1,1,3
By-W3_JANUARY-SHORT-3,Bybit,UNKNOWN,SHORT,TIMEOUT,1,0,0,1,1,3
By-W3_JANUARY-SHORT-4,Bybit,DISTRIBUTION_INTO_BOUNCE,SHORT,TIMEOUT,1,3,2,2,1,3
By-W3_JANUARY-SHORT-5,Bybit,UNKNOWN,SHORT,WIN,2,1,0,1,2,3
By-W3_JANUARY-SHORT-6,Bybit,UNKNOWN,SHORT,TIMEOUT,2,0,0,2,2,3
By-W3_JANUARY-SHORT-7,Bybit,UNKNOWN,SHORT,TIMEOUT,1,3,0,1,3,2
By-W3_JANUARY-SHORT-8,Bybit,UNKNOWN,SHORT,LOSS,0,1,1,1,1,3
By-W3_JANUARY-SHORT-9,Bybit,UNKNOWN,SHORT,TIMEOUT,1,3,0,1,2,2
By-W3_JANUARY-SHORT-10,Bybit,UNKNOWN,SHORT,WIN,1,3,3,1,0,3
By-W3_JANUARY-SHORT-11,Bybit,DISTRIBUTION_INTO_BOUNCE,SHORT,TIMEOUT,0,1,2,2,3,3
By-W3_JANUARY-LONG-12,Bybit,UNKNOWN,LONG,TIMEOUT,0,1,0,0,1,3
By-W3_JANUARY-LONG-13,Bybit,UNKNOWN,LONG,LOSS,0,2,0,1,2,3
By-W3_JANUARY-LONG-14,Bybit,UNKNOWN,LONG,TIMEOUT,0,1,2,2,3,3
By-W3_JANUARY-LONG-15,Bybit,UNKNOWN,LONG,TIMEOUT,0,2,0,2,2,3
By-W3_JANUARY-LONG-16,Bybit,UNKNOWN,LONG,LOSS,0,2,0,1,2,3
By-W3_JANUARY-LONG-17,Bybit,UNKNOWN,LONG,LOSS,0,1,0,1,1,3
By-W3_JANUARY-LONG-18,Bybit,NO_CONTROL_CHOP,LONG,TIMEOUT,0,0,0,1,2,3
By-W3_JANUARY-LONG-19,Bybit,NO_CONTROL_CHOP,LONG,WIN,0,0,0,0,1,3
By-W3_JANUARY-LONG-20,Bybit,NO_CONTROL_CHOP,LONG,WIN,0,0,0,1,2,3
By-W3_JANUARY-LONG-21,Bybit,UNKNOWN,LONG,WIN,0,2,0,2,3,3
By-W3_JANUARY-LONG-22,Bybit,NO_CONTROL_CHOP,LONG,LOSS,0,0,0,2,2,3
By-W3_JANUARY-LONG-23,Bybit,UNKNOWN,LONG,LOSS,0,1,0,2,2,3
By-W3_JANUARY-LONG-24,Bybit,UNKNOWN,LONG,LOSS,0,2,0,3,3,3
OK-W3_JANUARY-SHORT-0,OKX,UNKNOWN,SHORT,TIMEOUT,0,2,2,0,1,3
OK-W3_JANUARY-SHORT-1,OKX,UNKNOWN,SHORT,TIMEOUT,1,1,0,1,1,3
OK-W3_JANUARY-SHORT-2,OKX,UNKNOWN,SHORT,TIMEOUT,1,2,0,1,1,3
OK-W3_JANUARY-SHORT-3,OKX,UNKNOWN,SHORT,TIMEOUT,1,1,0,1,1,3
OK-W3_JANUARY-SHORT-4,OKX,DISTRIBUTION_INTO_BOUNCE,SHORT,TIMEOUT,1,2,2,2,1,3
OK-W3_JANUARY-SHORT-5,OKX,UNKNOWN,SHORT,WIN,2,1,0,1,2,3
OK-W3_JANUARY-SHORT-6,OKX,UNKNOWN,SHORT,LOSS,2,1,0,2,2,3
OK-W3_JANUARY-SHORT-7,OKX,UNKNOWN,SHORT,TIMEOUT,1,2,2,1,3,2
OK-W3_JANUARY-SHORT-8,OKX,DISTRIBUTION_INTO_BOUNCE,SHORT,LOSS,0,3,2,1,1,3
OK-W3_JANUARY-SHORT-9,OKX,UNKNOWN,SHORT,TIMEOUT,1,3,0,1,2,2
OK-W3_JANUARY-SHORT-10,OKX,UNKNOWN,SHORT,TIMEOUT,1,1,0,1,1,3
OK-W3_JANUARY-SHORT-11,OKX,UNKNOWN,SHORT,WIN,0,2,2,1,0,3
OK-W3_JANUARY-SHORT-12,OKX,UNKNOWN,SHORT,TIMEOUT,0,1,2,2,3,3
OK-W3_JANUARY-LONG-13,OKX,NO_CONTROL_CHOP,LONG,TIMEOUT,0,0,0,0,1,3
OK-W3_JANUARY-LONG-14,OKX,UNKNOWN,LONG,LOSS,0,2,0,1,2,3
OK-W3_JANUARY-LONG-15,OKX,UNKNOWN,LONG,TIMEOUT,0,2,0,2,3,3
OK-W3_JANUARY-LONG-16,OKX,UNKNOWN,LONG,TIMEOUT,0,1,0,2,2,3
OK-W3_JANUARY-LONG-17,OKX,UNKNOWN,LONG,LOSS,0,1,0,1,2,3
OK-W3_JANUARY-LONG-18,OKX,UNKNOWN,LONG,LOSS,0,1,0,1,1,3
OK-W3_JANUARY-LONG-19,OKX,UNKNOWN,LONG,TIMEOUT,0,2,0,1,2,3
OK-W3_JANUARY-LONG-20,OKX,UNKNOWN,LONG,WIN,0,2,2,0,1,3
OK-W3_JANUARY-LONG-21,OKX,NO_CONTROL_CHOP,LONG,WIN,0,0,0,0,2,3
OK-W3_JANUARY-LONG-22,OKX,UNKNOWN,LONG,WIN,0,1,0,2,3,3
OK-W3_JANUARY-LONG-23,OKX,NO_CONTROL_CHOP,LONG,LOSS,0,0,0,2,2,3
OK-W3_JANUARY-LONG-24,OKX,UNKNOWN,LONG,LOSS,1,1,1,2,2,3
OK-W3_JANUARY-LONG-25,OKX,UNKNOWN,LONG,LOSS,0,2,0,3,3,3
By-W4_APRIL-SHORT-0,Bybit,UNKNOWN,SHORT,TIMEOUT,0,3,1,0,1,3
By-W4_APRIL-SHORT-1,Bybit,UNKNOWN,SHORT,WIN,0,0,3,1,1,3
By-W4_APRIL-SHORT-2,Bybit,UNKNOWN,SHORT,WIN,1,1,2,2,1,3
By-W4_APRIL-SHORT-3,Bybit,DISTRIBUTION_INTO_BOUNCE,SHORT,TIMEOUT,0,1,2,3,3,3
By-W4_APRIL-SHORT-4,Bybit,UNKNOWN,SHORT,TIMEOUT,0,2,2,1,3,2
By-W4_APRIL-SHORT-5,Bybit,UNKNOWN,SHORT,LOSS,1,1,2,2,2,3
By-W4_APRIL-SHORT-6,Bybit,UNKNOWN,SHORT,TIMEOUT,1,2,2,1,2,3
By-W4_APRIL-SHORT-7,Bybit,NO_CONTROL_CHOP,SHORT,TIMEOUT,1,0,2,1,0,3
By-W4_APRIL-SHORT-8,Bybit,UNKNOWN,SHORT,LOSS,1,1,0,1,3,2
By-W4_APRIL-SHORT-9,Bybit,UNKNOWN,SHORT,WIN,1,1,2,2,3,3
By-W4_APRIL-SHORT-10,Bybit,UNKNOWN,SHORT,TIMEOUT,0,1,2,1,2,3
By-W4_APRIL-SHORT-11,Bybit,DISTRIBUTION_INTO_BOUNCE,SHORT,LOSS,1,1,3,2,0,3
By-W4_APRIL-SHORT-12,Bybit,DISTRIBUTION_INTO_BOUNCE,SHORT,LOSS,1,0,2,2,3,2
By-W4_APRIL-SHORT-13,Bybit,DISTRIBUTION_INTO_BOUNCE,SHORT,LOSS,1,2,3,2,1,3
By-W4_APRIL-SHORT-14,Bybit,UNKNOWN,SHORT,LOSS,0,3,2,1,3,3
By-W4_APRIL-SHORT-15,Bybit,UNKNOWN,SHORT,WIN,1,3,0,1,3,3
By-W4_APRIL-SHORT-16,Bybit,UNKNOWN,SHORT,WIN,0,1,2,1,1,2
By-W4_APRIL-SHORT-17,Bybit,NO_CONTROL_CHOP,SHORT,LOSS,0,0,2,2,2,3
By-W4_APRIL-SHORT-18,Bybit,UNKNOWN,SHORT,WIN,1,2,2,1,2,3
By-W4_APRIL-SHORT-19,Bybit,UNKNOWN,SHORT,WIN,1,1,0,1,3,3
By-W4_APRIL-SHORT-20,Bybit,DISTRIBUTION_INTO_BOUNCE,SHORT,LOSS,1,1,2,2,3,3
By-W4_APRIL-SHORT-21,Bybit,UNKNOWN,SHORT,TIMEOUT,1,3,0,1,3,2
By-W4_APRIL-SHORT-22,Bybit,UNKNOWN,SHORT,WIN,1,1,2,2,1,3
By-W4_APRIL-SHORT-23,Bybit,UNKNOWN,SHORT,LOSS,1,0,0,1,3,3
By-W4_APRIL-SHORT-24,Bybit,UNKNOWN,SHORT,TIMEOUT,1,0,0,2,3,3
By-W4_APRIL-SHORT-25,Bybit,UNKNOWN,SHORT,TIMEOUT,1,2,2,2,2,2
By-W4_APRIL-LONG-26,Bybit,NO_CONTROL_CHOP,LONG,LOSS,0,0,0,1,1,3
By-W4_APRIL-LONG-27,Bybit,UNKNOWN,LONG,LOSS,0,1,0,2,3,2
By-W4_APRIL-LONG-28,Bybit,UNKNOWN,LONG,WIN,0,1,0,2,2,3
By-W4_APRIL-LONG-29,Bybit,UNKNOWN,LONG,TIMEOUT,0,1,0,0,2,3
By-W4_APRIL-LONG-30,Bybit,UNKNOWN,LONG,LOSS,0,1,0,1,2,3
By-W4_APRIL-LONG-31,Bybit,UNKNOWN,LONG,LOSS,0,3,0,3,3,3
By-W4_APRIL-LONG-32,Bybit,UNKNOWN,LONG,LOSS,0,1,0,0,3,3
By-W4_APRIL-LONG-33,Bybit,NO_CONTROL_CHOP,LONG,LOSS,0,0,0,1,2,3
By-W4_APRIL-LONG-34,Bybit,UNKNOWN,LONG,LOSS,0,2,0,2,2,3
By-W4_APRIL-LONG-35,Bybit,UNKNOWN,LONG,LOSS,0,2,0,1,2,3
By-W4_APRIL-LONG-36,Bybit,UNKNOWN,LONG,WIN,0,2,0,2,3,3
By-W4_APRIL-LONG-37,Bybit,UNKNOWN,LONG,WIN,0,2,2,2,2,2
By-W4_APRIL-LONG-38,Bybit,UNKNOWN,LONG,TIMEOUT,0,2,0,0,1,3
By-W4_APRIL-LONG-39,Bybit,UNKNOWN,LONG,LOSS,0,3,0,1,2,3
By-W4_APRIL-LONG-40,Bybit,UNKNOWN,LONG,LOSS,0,1,0,2,3,3
By-W4_APRIL-LONG-41,Bybit,NO_CONTROL_CHOP,LONG,LOSS,0,0,0,2,3,3
By-W4_APRIL-LONG-42,Bybit,UNKNOWN,LONG,LOSS,0,2,0,2,2,3
By-W4_APRIL-LONG-43,Bybit,UNKNOWN,LONG,LOSS,0,1,0,2,3,3
By-W4_APRIL-LONG-44,Bybit,UNKNOWN,LONG,WIN,0,1,0,0,2,3
By-W4_APRIL-LONG-45,Bybit,UNKNOWN,LONG,WIN,0,3,0,1,2,3
By-W4_APRIL-LONG-46,Bybit,UNKNOWN,LONG,LOSS,0,2,0,1,2,3
By-W4_APRIL-LONG-47,Bybit,UNKNOWN,LONG,LOSS,0,2,0,2,2,3
By-W4_APRIL-LONG-48,Bybit,UNKNOWN,LONG,LOSS,0,2,0,3,3,3
By-W4_APRIL-LONG-49,Bybit,UNKNOWN,LONG,TIMEOUT,0,1,0,0,2,3
OK-W4_APRIL-SHORT-0,OKX,UNKNOWN,SHORT,TIMEOUT,0,3,1,0,1,3
OK-W4_APRIL-SHORT-1,OKX,UNKNOWN,SHORT,WIN,1,0,2,1,1,3
OK-W4_APRIL-SHORT-2,OKX,DISTRIBUTION_INTO_BOUNCE,SHORT,WIN,1,1,2,2,1,3
OK-W4_APRIL-SHORT-3,OKX,UNKNOWN,SHORT,TIMEOUT,1,1,2,3,3,3
OK-W4_APRIL-SHORT-4,OKX,NO_CONTROL_CHOP,SHORT,TIMEOUT,1,0,0,1,3,2
OK-W4_APRIL-SHORT-5,OKX,DISTRIBUTION_INTO_BOUNCE,SHORT,LOSS,0,0,2,2,2,3
OK-W4_APRIL-SHORT-6,OKX,UNKNOWN,SHORT,TIMEOUT,1,0,2,1,3,3
OK-W4_APRIL-SHORT-7,OKX,NO_CONTROL_CHOP,SHORT,TIMEOUT,0,0,2,1,0,3
OK-W4_APRIL-SHORT-8,OKX,UNKNOWN,SHORT,WIN,1,2,2,2,3,3
OK-W4_APRIL-SHORT-9,OKX,UNKNOWN,SHORT,TIMEOUT,0,1,2,2,2,3
OK-W4_APRIL-SHORT-10,OKX,UNKNOWN,SHORT,LOSS,1,2,2,2,0,3
OK-W4_APRIL-SHORT-11,OKX,DISTRIBUTION_INTO_BOUNCE,SHORT,LOSS,1,0,2,2,3,3
OK-W4_APRIL-SHORT-12,OKX,UNKNOWN,SHORT,LOSS,1,0,2,2,3,2
OK-W4_APRIL-SHORT-13,OKX,UNKNOWN,SHORT,LOSS,2,3,0,2,1,3
OK-W4_APRIL-SHORT-14,OKX,DISTRIBUTION_INTO_BOUNCE,SHORT,LOSS,0,0,2,1,3,3
OK-W4_APRIL-SHORT-15,OKX,UNKNOWN,SHORT,WIN,0,2,2,1,3,2
OK-W4_APRIL-SHORT-16,OKX,UNKNOWN,SHORT,WIN,0,1,2,1,1,2
OK-W4_APRIL-SHORT-17,OKX,DISTRIBUTION_INTO_BOUNCE,SHORT,LOSS,0,0,2,2,2,3
OK-W4_APRIL-SHORT-18,OKX,UNKNOWN,SHORT,WIN,0,1,2,1,2,3
OK-W4_APRIL-SHORT-19,OKX,NO_CONTROL_CHOP,SHORT,WIN,1,0,0,1,3,3
OK-W4_APRIL-SHORT-20,OKX,UNKNOWN,SHORT,LOSS,1,0,0,2,3,2
OK-W4_APRIL-SHORT-21,OKX,UNKNOWN,SHORT,TIMEOUT,1,0,0,1,3,2
OK-W4_APRIL-SHORT-22,OKX,UNKNOWN,SHORT,WIN,0,1,2,2,1,3
OK-W4_APRIL-SHORT-23,OKX,UNKNOWN,SHORT,WIN,0,2,2,1,1,3
OK-W4_APRIL-SHORT-24,OKX,NO_CONTROL_CHOP,SHORT,LOSS,1,0,2,1,3,3
OK-W4_APRIL-SHORT-25,OKX,UNKNOWN,SHORT,TIMEOUT,0,1,2,2,3,3
OK-W4_APRIL-SHORT-26,OKX,UNKNOWN,SHORT,TIMEOUT,1,2,3,1,2,2
OK-W4_APRIL-LONG-27,OKX,NO_CONTROL_CHOP,LONG,LOSS,0,0,0,1,1,3
OK-W4_APRIL-LONG-28,OKX,UNKNOWN,LONG,LOSS,0,2,0,2,3,2
OK-W4_APRIL-LONG-29,OKX,UNKNOWN,LONG,WIN,0,1,0,2,2,3
OK-W4_APRIL-LONG-30,OKX,UNKNOWN,LONG,TIMEOUT,0,1,0,0,2,3
OK-W4_APRIL-LONG-31,OKX,UNKNOWN,LONG,LOSS,0,1,0,1,2,3
OK-W4_APRIL-LONG-32,OKX,UNKNOWN,LONG,LOSS,0,1,0,3,3,3
OK-W4_APRIL-LONG-33,OKX,UNKNOWN,LONG,LOSS,0,1,0,0,3,3
OK-W4_APRIL-LONG-34,OKX,UNKNOWN,LONG,LOSS,0,1,0,1,2,3
OK-W4_APRIL-LONG-35,OKX,UNKNOWN,LONG,LOSS,0,1,0,2,2,3
OK-W4_APRIL-LONG-36,OKX,UNKNOWN,LONG,LOSS,0,1,0,1,2,3
OK-W4_APRIL-LONG-37,OKX,NO_CONTROL_CHOP,LONG,WIN,0,0,0,2,3,3
OK-W4_APRIL-LONG-38,OKX,UNKNOWN,LONG,WIN,0,1,0,2,2,2
OK-W4_APRIL-LONG-39,OKX,NO_CONTROL_CHOP,LONG,TIMEOUT,0,0,0,0,1,3
OK-W4_APRIL-LONG-40,OKX,NO_CONTROL_CHOP,LONG,LOSS,0,0,0,2,2,3
OK-W4_APRIL-LONG-41,OKX,UNKNOWN,LONG,LOSS,0,1,0,2,3,3
OK-W4_APRIL-LONG-42,OKX,UNKNOWN,LONG,LOSS,0,1,0,2,2,3
OK-W4_APRIL-LONG-43,OKX,NO_CONTROL_CHOP,LONG,LOSS,0,0,0,2,3,3
OK-W4_APRIL-LONG-44,OKX,NO_CONTROL_CHOP,LONG,WIN,0,0,0,0,2,3
OK-W4_APRIL-LONG-45,OKX,UNKNOWN,LONG,WIN,1,2,1,1,2,3
OK-W4_APRIL-LONG-46,OKX,UNKNOWN,LONG,LOSS,0,1,0,1,2,3
OK-W4_APRIL-LONG-47,OKX,NO_CONTROL_CHOP,LONG,LOSS,0,0,0,2,2,3
OK-W4_APRIL-LONG-48,OKX,UNKNOWN,LONG,TIMEOUT,0,1,0,0,2,3
