cluster_id,exchange,window_id,date,capital_state_candidate,confidence,direction_candidate,hit2,hit2_5,hit3,loss,timeout,evidence_summary,why_this_state,why_not_other_state,notes
By-W1_NOVEMBER-LONG-19,Bybit,W1_NOVEMBER,2025-11-19,UNKNOWN,0.25,LONG,0,0,0,1,0,long counter-trend without clean absorption,reversal-watch unconfirmed,—,di=0.233 cvd60=-1003.737 netTaker30=-556.631 bounce=0.634
By-W1_NOVEMBER-LONG-20,Bybit,W1_NOVEMBER,2025-11-19,UNKNOWN,0.25,LONG,0,0,0,1,0,long counter-trend without clean absorption,reversal-watch unconfirmed,—,di=-0.2613 cvd60=-1901.083 netTaker30=-209.905 bounce=0.477
By-W1_NOVEMBER-LONG-21,Bybit,W1_NOVEMBER,2025-11-20,UNKNOWN,0.25,LONG,0,0,0,0,1,long counter-trend without clean absorption,reversal-watch unconfirmed,—,di=0.2608 cvd60=-611.561 netTaker30=-727.29 bounce=0.888
By-W1_NOVEMBER-LONG-22,Bybit,W1_NOVEMBER,2025-11-20,NO_CONTROL_CHOP,0.4,LONG,0,0,0,1,0,depth_imb~0,no control,neither side dominant,di=0.0335 cvd60=-982.388 netTaker30=-887.329 bounce=0.503
By-W1_NOVEMBER-LONG-23,Bybit,W1_NOVEMBER,2025-11-20,UNKNOWN,0.25,LONG,0,0,0,1,0,long counter-trend without clean absorption,reversal-watch unconfirmed,—,di=0.1741 cvd60=-509.333 netTaker30=-1322.079 bounce=1.2
By-W1_NOVEMBER-LONG-24,Bybit,W1_NOVEMBER,2025-11-20,UNKNOWN,0.25,LONG,0,0,0,1,0,long counter-trend without clean absorption,reversal-watch unconfirmed,—,di=-0.2733 cvd60=-1059.666 netTaker30=-600.047 bounce=1.04
By-W1_NOVEMBER-LONG-25,Bybit,W1_NOVEMBER,2025-11-21,UNKNOWN,0.25,LONG,0,0,0,1,0,long counter-trend without clean absorption,reversal-watch unconfirmed,—,di=0.1915 cvd60=-684.107 netTaker30=-438.753 bounce=0.735
By-W1_NOVEMBER-LONG-26,Bybit,W1_NOVEMBER,2025-11-21,NO_CONTROL_CHOP,0.4,LONG,1,0,0,0,0,depth_imb~0,no control,neither side dominant,di=-0.0001 cvd60=-2324.383 netTaker30=-1834.151 bounce=1.857
By-W1_NOVEMBER-LONG-27,Bybit,W1_NOVEMBER,2025-11-21,UNKNOWN,0.25,LONG,0,0,0,0,1,long counter-trend without clean absorption,reversal-watch unconfirmed,—,di=0.1004 cvd60=-1976.708 netTaker30=-1434.101 bounce=1.71
By-W1_NOVEMBER-LONG-28,Bybit,W1_NOVEMBER,2025-11-21,UNKNOWN,0.25,LONG,0,0,0,0,1,long counter-trend without clean absorption,reversal-watch unconfirmed,—,di=0.2129 cvd60=-390.186 netTaker30=-533.82 bounce=1.166
By-W1_NOVEMBER-LONG-29,Bybit,W1_NOVEMBER,2025-11-22,UNKNOWN,0.25,LONG,0,0,0,0,1,long counter-trend without clean absorption,reversal-watch unconfirmed,—,di=0.087 cvd60=-410.973 netTaker30=-378.298 bounce=0.571
By-W1_NOVEMBER-LONG-30,Bybit,W1_NOVEMBER,2025-11-22,UNKNOWN,0.25,LONG,0,0,0,0,1,long counter-trend without clean absorption,reversal-watch unconfirmed,—,di=0.3523 cvd60=-214.866 netTaker30=-251.807 bounce=0.718
By-W1_NOVEMBER-LONG-31,Bybit,W1_NOVEMBER,2025-11-22,UNKNOWN,0.25,LONG,0,0,0,0,1,long counter-trend without clean absorption,reversal-watch unconfirmed,—,di=-0.2384 cvd60=-5.744 netTaker30=-61.579 bounce=0.715
By-W1_NOVEMBER-LONG-32,Bybit,W1_NOVEMBER,2025-11-22,UNKNOWN,0.25,LONG,0,0,0,0,1,long counter-trend without clean absorption,reversal-watch unconfirmed,—,di=0.2408 cvd60=-232.045 netTaker30=-191.197 bounce=0.302
By-W1_NOVEMBER-LONG-33,Bybit,W1_NOVEMBER,2025-11-22,UNKNOWN,0.25,LONG,0,0,0,0,1,long counter-trend without clean absorption,reversal-watch unconfirmed,—,di=-0.0669 cvd60=-110.466 netTaker30=18.405 bounce=0.357
OK-W1_NOVEMBER-SHORT-0,OKX,W1_NOVEMBER,2025-11-19,UNKNOWN,0.25,SHORT,1,0,0,0,0,insufficient short evidence,cannot classify short honestly,—,di=0.1455 cvd60=4002.6 netTaker30=4300.51 bounce=0.317
OK-W1_NOVEMBER-SHORT-1,OKX,W1_NOVEMBER,2025-11-19,UNKNOWN,0.25,SHORT,0,0,0,1,0,insufficient short evidence,cannot classify short honestly,—,di=-0.3466 cvd60=54880.98 netTaker30=71318.84 bounce=0.603
OK-W1_NOVEMBER-SHORT-2,OKX,W1_NOVEMBER,2025-11-19,UNKNOWN,0.25,SHORT,1,0,0,0,0,insufficient short evidence,cannot classify short honestly,—,di=0.1118 cvd60=-7209.76 netTaker30=6887.07 bounce=0.3
OK-W1_NOVEMBER-SHORT-3,OKX,W1_NOVEMBER,2025-11-19,UNKNOWN,0.25,SHORT,0,0,0,1,0,insufficient short evidence,cannot classify short honestly,—,di=-0.0743 cvd60=56948.13 netTaker30=53836.66 bounce=0.655
OK-W1_NOVEMBER-SHORT-4,OKX,W1_NOVEMBER,2025-11-20,UNKNOWN,0.25,SHORT,0,0,0,1,0,insufficient short evidence,cannot classify short honestly,—,di=0.1782 cvd60=-609.67 netTaker30=4812.58 bounce=0.537
OK-W1_NOVEMBER-SHORT-5,OKX,W1_NOVEMBER,2025-11-20,UNKNOWN,0.25,SHORT,0,0,0,0,1,insufficient short evidence,cannot classify short honestly,—,di=-0.0245 cvd60=-30754.28 netTaker30=-22435.16 bounce=0.269
OK-W1_NOVEMBER-SHORT-6,OKX,W1_NOVEMBER,2025-11-20,UNKNOWN,0.25,SHORT,1,0,0,0,0,insufficient short evidence,cannot classify short honestly,—,di=-0.1326 cvd60=2238.46 netTaker30=11670.07 bounce=0.268
OK-W1_NOVEMBER-SHORT-7,OKX,W1_NOVEMBER,2025-11-20,DISTRIBUTION_INTO_BOUNCE,0.55,SHORT,1,0,0,0,0,bounce>=0.4%; CVD<0 (net selling); ask-heavy depth,"buyers stall, sellers reload at highs",not active markdown: needed a bounce first,di=-0.0648 cvd60=-16475.12 netTaker30=2937.83 bounce=0.49
OK-W1_NOVEMBER-SHORT-8,OKX,W1_NOVEMBER,2025-11-20,UNKNOWN,0.25,SHORT,0,0,0,0,1,insufficient short evidence,cannot classify short honestly,—,di=0.1516 cvd60=-29387.27 netTaker30=55519.84 bounce=0.889
OK-W1_NOVEMBER-SHORT-9,OKX,W1_NOVEMBER,2025-11-21,UNKNOWN,0.25,SHORT,1,0,0,0,0,insufficient short evidence,cannot classify short honestly,—,di=0.2972 cvd60=47638.28 netTaker30=61440.54 bounce=0.664
OK-W1_NOVEMBER-SHORT-10,OKX,W1_NOVEMBER,2025-11-21,DISTRIBUTION_INTO_BOUNCE,0.55,SHORT,1,1,1,0,0,bounce>=0.4%; CVD<0 (net selling); ask-heavy depth,"buyers stall, sellers reload at highs",not active markdown: needed a bounce first,di=-0.1981 cvd60=-57078.19 netTaker30=31949.35 bounce=0.704
OK-W1_NOVEMBER-SHORT-11,OKX,W1_NOVEMBER,2025-11-21,DISTRIBUTION_INTO_BOUNCE,0.55,SHORT,1,0,0,0,0,bounce>=0.4%; CVD<0 (net selling); ask-heavy depth,"buyers stall, sellers reload at highs",not active markdown: needed a bounce first,di=-0.178 cvd60=-306384.88 netTaker30=-26311.3 bounce=1.04
OK-W1_NOVEMBER-SHORT-12,OKX,W1_NOVEMBER,2025-11-21,UNKNOWN,0.25,SHORT,1,0,0,0,0,insufficient short evidence,cannot classify short honestly,—,di=-0.0228 cvd60=69167.27 netTaker30=72945.45 bounce=0.84
OK-W1_NOVEMBER-SHORT-13,OKX,W1_NOVEMBER,2025-11-21,UNKNOWN,0.25,SHORT,0,0,0,1,0,insufficient short evidence,cannot classify short honestly,—,di=-0.0922 cvd60=134.92 netTaker30=-12431.77 bounce=2.78
OK-W1_NOVEMBER-SHORT-14,OKX,W1_NOVEMBER,2025-11-21,DISTRIBUTION_INTO_BOUNCE,0.55,SHORT,0,0,0,1,0,bounce>=0.4%; CVD<0 (net selling); ask-heavy depth,"buyers stall, sellers reload at highs",not active markdown: needed a bounce first,di=-0.0306 cvd60=-2295.26 netTaker30=104.23 bounce=0.852
OK-W1_NOVEMBER-SHORT-15,OKX,W1_NOVEMBER,2025-11-21,UNKNOWN,0.25,SHORT,0,0,0,0,1,insufficient short evidence,cannot classify short honestly,—,di=0.0504 cvd60=-65515.25 netTaker30=14201.7 bounce=1.422
OK-W1_NOVEMBER-SHORT-16,OKX,W1_NOVEMBER,2025-11-21,UNKNOWN,0.25,SHORT,0,0,0,0,1,insufficient short evidence,cannot classify short honestly,—,di=0.0729 cvd60=6481.76 netTaker30=30199.25 bounce=1.335
OK-W1_NOVEMBER-SHORT-17,OKX,W1_NOVEMBER,2025-11-21,UNKNOWN,0.25,SHORT,0,0,0,0,1,insufficient short evidence,cannot classify short honestly,—,di=0.1739 cvd60=10216.94 netTaker30=1539.31 bounce=0.903
OK-W1_NOVEMBER-SHORT-18,OKX,W1_NOVEMBER,2025-11-22,UNKNOWN,0.25,SHORT,0,0,0,0,1,insufficient short evidence,cannot classify short honestly,—,di=0.022 cvd60=-18361.89 netTaker30=18137.42 bounce=0.659
OK-W1_NOVEMBER-LONG-19,OKX,W1_NOVEMBER,2025-11-19,UNKNOWN,0.25,LONG,0,0,0,1,0,long counter-trend without clean absorption,reversal-watch unconfirmed,—,di=0.1696 cvd60=-1522.66 netTaker30=-7409.07 bounce=0.537
OK-W1_NOVEMBER-LONG-20,OKX,W1_NOVEMBER,2025-11-19,UNKNOWN,0.25,LONG,0,0,0,1,0,long counter-trend without clean absorption,reversal-watch unconfirmed,—,di=0.3685 cvd60=-79416.06 netTaker30=-26807.75 bounce=0.629
OK-W1_NOVEMBER-LONG-21,OKX,W1_NOVEMBER,2025-11-19,UNKNOWN,0.25,LONG,0,0,0,1,0,long counter-trend without clean absorption,reversal-watch unconfirmed,—,di=-0.2151 cvd60=-44139.2 netTaker30=-22780.26 bounce=0.486
OK-W1_NOVEMBER-LONG-22,OKX,W1_NOVEMBER,2025-11-20,NO_CONTROL_CHOP,0.4,LONG,0,0,0,0,1,depth_imb~0,no control,neither side dominant,di=-0.0229 cvd60=-69856.04 netTaker30=-85804.67 bounce=0.907
OK-W1_NOVEMBER-LONG-23,OKX,W1_NOVEMBER,2025-11-20,UNKNOWN,0.25,LONG,0,0,0,1,0,long counter-trend without clean absorption,reversal-watch unconfirmed,—,di=0.0524 cvd60=-67777.78 netTaker30=-55560.58 bounce=0.509
OK-W1_NOVEMBER-LONG-24,OKX,W1_NOVEMBER,2025-11-20,NO_CONTROL_CHOP,0.4,LONG,0,0,0,1,0,depth_imb~0,no control,neither side dominant,di=-0.0314 cvd60=18956.49 netTaker30=-77669.53 bounce=1.202
OK-W1_NOVEMBER-LONG-25,OKX,W1_NOVEMBER,2025-11-20,UNKNOWN,0.25,LONG,0,0,0,1,0,long counter-trend without clean absorption,reversal-watch unconfirmed,—,di=-0.1426 cvd60=-37212.84 netTaker30=-12925.31 bounce=1.036
OK-W1_NOVEMBER-LONG-26,OKX,W1_NOVEMBER,2025-11-21,UNKNOWN,0.25,LONG,0,0,0,1,0,long counter-trend without clean absorption,reversal-watch unconfirmed,—,di=-0.0773 cvd60=-65313.92 netTaker30=-31314.6 bounce=0.743
OK-W1_NOVEMBER-LONG-27,OKX,W1_NOVEMBER,2025-11-21,NO_CONTROL_CHOP,0.4,LONG,0,0,0,1,0,depth_imb~0,no control,neither side dominant,di=-0.0245 cvd60=31731.26 netTaker30=-5458.64 bounce=1.054
OK-W1_NOVEMBER-LONG-28,OKX,W1_NOVEMBER,2025-11-21,UNKNOWN,0.25,LONG,1,0,0,0,0,long counter-trend without clean absorption,reversal-watch unconfirmed,—,di=0.0605 cvd60=-101225.08 netTaker30=-41041.34 bounce=1.862
OK-W1_NOVEMBER-LONG-29,OKX,W1_NOVEMBER,2025-11-21,UNKNOWN,0.25,LONG,0,0,0,0,1,long counter-trend without clean absorption,reversal-watch unconfirmed,—,di=-0.0517 cvd60=-139271.07 netTaker30=-79973.38 bounce=1.695
OK-W1_NOVEMBER-LONG-30,OKX,W1_NOVEMBER,2025-11-21,UNKNOWN,0.25,LONG,0,0,0,0,1,long counter-trend without clean absorption,reversal-watch unconfirmed,—,di=0.1865 cvd60=-50865.76 netTaker30=-46414.98 bounce=1.178
OK-W1_NOVEMBER-LONG-31,OKX,W1_NOVEMBER,2025-11-22,UNKNOWN,0.25,LONG,0,0,0,0,1,long counter-trend without clean absorption,reversal-watch unconfirmed,—,di=0.0672 cvd60=-32723.27 netTaker30=-17722.21 bounce=0.553
OK-W1_NOVEMBER-LONG-32,OKX,W1_NOVEMBER,2025-11-22,UNKNOWN,0.25,LONG,0,0,0,0,1,long counter-trend without clean absorption,reversal-watch unconfirmed,—,di=0.4867 cvd60=-27759.3 netTaker30=-17069.27 bounce=0.71
OK-W1_NOVEMBER-LONG-33,OKX,W1_NOVEMBER,2025-11-22,UNKNOWN,0.25,LONG,0,0,0,0,1,long counter-trend without clean absorption,reversal-watch unconfirmed,—,di=0.1506 cvd60=-8021.35 netTaker30=-11529.3 bounce=0.694
OK-W1_NOVEMBER-LONG-34,OKX,W1_NOVEMBER,2025-11-22,UNKNOWN,0.25,LONG,0,0,0,0,1,long counter-trend without clean absorption,reversal-watch unconfirmed,—,di=0.2604 cvd60=-4380.24 netTaker30=-1945.45 bounce=0.298
By-W3_JANUARY-SHORT-0,Bybit,W3_JANUARY,2026-01-28,UNKNOWN,0.25,SHORT,0,0,0,0,1,insufficient short evidence,cannot classify short honestly,—,di=0.1826 cvd60=81.272 netTaker30=64.288 bounce=0.332
By-W3_JANUARY-SHORT-1,Bybit,W3_JANUARY,2026-01-28,UNKNOWN,0.25,SHORT,0,0,0,0,1,insufficient short evidence,cannot classify short honestly,—,di=0.1594 cvd60=119.505 netTaker30=193.523 bounce=0.332
By-W3_JANUARY-SHORT-2,Bybit,W3_JANUARY,2026-01-28,UNKNOWN,0.25,SHORT,0,0,0,0,1,insufficient short evidence,cannot classify short honestly,—,di=-0.1985 cvd60=629.196 netTaker30=512.466 bounce=0.506
By-W3_JANUARY-SHORT-3,Bybit,W3_JANUARY,2026-01-28,UNKNOWN,0.25,SHORT,0,0,0,0,1,insufficient short evidence,cannot classify short honestly,—,di=-0.0223 cvd60=322.897 netTaker30=206.294 bounce=0.609
By-W3_JANUARY-SHORT-4,Bybit,W3_JANUARY,2026-01-29,DISTRIBUTION_INTO_BOUNCE,0.55,SHORT,0,0,0,0,1,bounce>=0.4%; CVD<0 (net selling); ask-heavy depth,"buyers stall, sellers reload at highs",not active markdown: needed a bounce first,di=-0.325 cvd60=-628.752 netTaker30=8.587 bounce=0.504
By-W3_JANUARY-SHORT-5,Bybit,W3_JANUARY,2026-01-29,UNKNOWN,0.25,SHORT,1,0,0,0,0,insufficient short evidence,cannot classify short honestly,—,di=0.0881 cvd60=208.139 netTaker30=1169.42 bounce=0.891
By-W3_JANUARY-SHORT-6,Bybit,W3_JANUARY,2026-01-30,UNKNOWN,0.25,SHORT,0,0,0,0,1,insufficient short evidence,cannot classify short honestly,—,di=0.0198 cvd60=356.929 netTaker30=742.574 bounce=1.156
By-W3_JANUARY-SHORT-7,Bybit,W3_JANUARY,2026-01-30,UNKNOWN,0.25,SHORT,0,0,0,0,1,insufficient short evidence,cannot classify short honestly,—,di=0.4009 cvd60=239.411 netTaker30=63.041 bounce=0.182
By-W3_JANUARY-SHORT-8,Bybit,W3_JANUARY,2026-01-30,UNKNOWN,0.25,SHORT,0,0,0,1,0,insufficient short evidence,cannot classify short honestly,—,di=-0.1458 cvd60=90.609 netTaker30=-51.467 bounce=0.709
By-W3_JANUARY-SHORT-9,Bybit,W3_JANUARY,2026-01-30,UNKNOWN,0.25,SHORT,0,0,0,0,1,insufficient short evidence,cannot classify short honestly,—,di=0.6827 cvd60=108.074 netTaker30=17.109 bounce=0.261
By-W3_JANUARY-SHORT-10,Bybit,W3_JANUARY,2026-01-31,UNKNOWN,0.25,SHORT,1,0,0,0,0,insufficient short evidence,cannot classify short honestly,—,di=-0.5512 cvd60=-400.522 netTaker30=-267.909 bounce=0.242
By-W3_JANUARY-SHORT-11,Bybit,W3_JANUARY,2026-01-31,DISTRIBUTION_INTO_BOUNCE,0.55,SHORT,0,0,0,0,1,bounce>=0.4%; CVD<0 (net selling); ask-heavy depth,"buyers stall, sellers reload at highs",not active markdown: needed a bounce first,di=-0.0516 cvd60=-2303.901 netTaker30=-1012.473 bounce=3.408
By-W3_JANUARY-LONG-12,Bybit,W3_JANUARY,2026-01-28,UNKNOWN,0.25,LONG,0,0,0,0,1,long counter-trend without clean absorption,reversal-watch unconfirmed,—,di=0.1258 cvd60=-502.804 netTaker30=-444.112 bounce=0.593
By-W3_JANUARY-LONG-13,Bybit,W3_JANUARY,2026-01-28,UNKNOWN,0.25,LONG,0,0,0,1,0,long counter-trend without clean absorption,reversal-watch unconfirmed,—,di=0.2315 cvd60=-2038.841 netTaker30=-197.142 bounce=0.538
By-W3_JANUARY-LONG-14,Bybit,W3_JANUARY,2026-01-28,UNKNOWN,0.25,LONG,0,0,0,0,1,long counter-trend without clean absorption,reversal-watch unconfirmed,—,di=-0.1385 cvd60=105.044 netTaker30=-114.498 bounce=0.566
By-W3_JANUARY-LONG-15,Bybit,W3_JANUARY,2026-01-29,UNKNOWN,0.25,LONG,0,0,0,0,1,long counter-trend without clean absorption,reversal-watch unconfirmed,—,di=-0.2047 cvd60=-380.372 netTaker30=-104.464 bounce=0.383
By-W3_JANUARY-LONG-16,Bybit,W3_JANUARY,2026-01-29,UNKNOWN,0.25,LONG,0,0,0,1,0,long counter-trend without clean absorption,reversal-watch unconfirmed,—,di=-0.2928 cvd60=-931.145 netTaker30=-916.43 bounce=0.626
By-W3_JANUARY-LONG-17,Bybit,W3_JANUARY,2026-01-30,UNKNOWN,0.25,LONG,0,0,0,1,0,long counter-trend without clean absorption,reversal-watch unconfirmed,—,di=-0.1424 cvd60=-394.215 netTaker30=-252.663 bounce=0.391
By-W3_JANUARY-LONG-18,Bybit,W3_JANUARY,2026-01-30,NO_CONTROL_CHOP,0.4,LONG,0,0,0,0,1,depth_imb~0,no control,neither side dominant,di=-0.044 cvd60=-1300.151 netTaker30=-849.939 bounce=0.653
By-W3_JANUARY-LONG-19,Bybit,W3_JANUARY,2026-01-30,NO_CONTROL_CHOP,0.4,LONG,1,0,0,0,0,depth_imb~0,no control,neither side dominant,di=-0.0116 cvd60=-139.402 netTaker30=-49.37 bounce=0.364
By-W3_JANUARY-LONG-20,Bybit,W3_JANUARY,2026-01-30,NO_CONTROL_CHOP,0.4,LONG,1,0,0,0,0,depth_imb~0,no control,neither side dominant,di=-0.0331 cvd60=-604.749 netTaker30=-958.542 bounce=1.389
By-W3_JANUARY-LONG-21,Bybit,W3_JANUARY,2026-01-30,UNKNOWN,0.25,LONG,1,0,0,0,0,long counter-trend without clean absorption,reversal-watch unconfirmed,—,di=-0.2022 cvd60=-1051.992 netTaker30=-1097.026 bounce=1.541
By-W3_JANUARY-LONG-22,Bybit,W3_JANUARY,2026-01-31,NO_CONTROL_CHOP,0.4,LONG,0,0,0,1,0,depth_imb~0,no control,neither side dominant,di=-0.0292 cvd60=-731.986 netTaker30=-290.147 bounce=0.477
By-W3_JANUARY-LONG-23,Bybit,W3_JANUARY,2026-01-31,UNKNOWN,0.25,LONG,0,0,0,1,0,long counter-trend without clean absorption,reversal-watch unconfirmed,—,di=0.0584 cvd60=-405.43 netTaker30=-171.357 bounce=0.638
By-W3_JANUARY-LONG-24,Bybit,W3_JANUARY,2026-01-31,UNKNOWN,0.25,LONG,0,0,0,1,0,long counter-trend without clean absorption,reversal-watch unconfirmed,—,di=0.2107 cvd60=-933.645 netTaker30=-309.171 bounce=1.91
OK-W3_JANUARY-SHORT-0,OKX,W3_JANUARY,2026-01-28,UNKNOWN,0.25,SHORT,0,0,0,0,1,insufficient short evidence,cannot classify short honestly,—,di=0.1869 cvd60=-543.19 netTaker30=-58.39 bounce=0.341
OK-W3_JANUARY-SHORT-1,OKX,W3_JANUARY,2026-01-28,UNKNOWN,0.25,SHORT,0,0,0,0,1,insufficient short evidence,cannot classify short honestly,—,di=0.0979 cvd60=8271.54 netTaker30=14363.51 bounce=0.324
OK-W3_JANUARY-SHORT-2,OKX,W3_JANUARY,2026-01-28,UNKNOWN,0.25,SHORT,0,0,0,0,1,insufficient short evidence,cannot classify short honestly,—,di=-0.1741 cvd60=25147.64 netTaker30=76987.4 bounce=0.503
OK-W3_JANUARY-SHORT-3,OKX,W3_JANUARY,2026-01-28,UNKNOWN,0.25,SHORT,0,0,0,0,1,insufficient short evidence,cannot classify short honestly,—,di=0.1388 cvd60=4325.85 netTaker30=6930.23 bounce=0.597
OK-W3_JANUARY-SHORT-4,OKX,W3_JANUARY,2026-01-29,DISTRIBUTION_INTO_BOUNCE,0.55,SHORT,0,0,0,0,1,bounce>=0.4%; CVD<0 (net selling); ask-heavy depth,"buyers stall, sellers reload at highs",not active markdown: needed a bounce first,di=-0.1914 cvd60=-52240.24 netTaker30=11647.52 bounce=0.501
OK-W3_JANUARY-SHORT-5,OKX,W3_JANUARY,2026-01-29,UNKNOWN,0.25,SHORT,1,0,0,0,0,insufficient short evidence,cannot classify short honestly,—,di=-0.0641 cvd60=3078.98 netTaker30=75216.33 bounce=0.891
OK-W3_JANUARY-SHORT-6,OKX,W3_JANUARY,2026-01-30,UNKNOWN,0.25,SHORT,0,0,0,1,0,insufficient short evidence,cannot classify short honestly,—,di=0.1284 cvd60=6779.05 netTaker30=45512.45 bounce=1.205
OK-W3_JANUARY-SHORT-7,OKX,W3_JANUARY,2026-01-30,UNKNOWN,0.25,SHORT,0,0,0,0,1,insufficient short evidence,cannot classify short honestly,—,di=-0.1673 cvd60=-10064.52 netTaker30=3978.32 bounce=0.176
OK-W3_JANUARY-SHORT-8,OKX,W3_JANUARY,2026-01-30,DISTRIBUTION_INTO_BOUNCE,0.55,SHORT,0,0,0,1,0,bounce>=0.4%; CVD<0 (net selling); ask-heavy depth,"buyers stall, sellers reload at highs",not active markdown: needed a bounce first,di=-0.3343 cvd60=-28347.85 netTaker30=-18091.69 bounce=0.708
